Key,en,es,ar,fr
Mnemonic,Mnemonic,Mnemotécnico,ذاكري,Mnémonique
Extended Public Key (Xpub),Extended Public Key (Xpub),Clave pública extendida (Xpub),المفتاح العام الممتد (Xpub),Clé publique étendue (Xpub)
Private Key,Private Key,Clave privada,مفتاح خاص,Clé privée
Public Address,Public Address,Dirección pública,الخطاب العام,Adresse publique
Selectable,Selectable,Seleccionable,قابلة للتحديد,Sélectionnable
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية,Mot de passe actuel
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي,Code postal
Mail From Address,Mail From Address,Dirección de correo,عنوان البريد من,Adresse de courrier de
Required,Required,Requerido,مطلوب,Requis
Categories,Categories,Categorías,فئات,Catégories
User Status,User Status,Estado del usuario,حالة المستخدم,Statut de l'utilisateur
Unverified,Unverified,Inconfirmado,غير مُتحقق,Non vérifié
2FA Verification,2FA Verification,Verificación 2FA,التحقق من 2FA,Vérification 2FA
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Enregistrement de l'utilisateur
Activated,Activated,Activado,تم التفعيل,Activé
Deactivated,Deactivated,Desactivado,تم إلغاء تنشيطه,Désactivé
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة,Mot de passe sécurisé
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة,Accepter la politique
Force SSL,Force SSL,Forzar SSL,فرض SSL,Forcer SSL
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني,Notification par e-mail
Title,Title,Título,عنوان,Titre
Payment Required,Payment Required,Pago requerido,الدفع مطلوب,Paiement requis
Message,Message,Mensaje,رسالة,Message
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدًا,Trop de demandes
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة,service non disponible
Register Information,Register Information,Información de registro,معلومات التسجيل,Informations sur le registre
pagination.previous,pagination.previous,paginación.anterior,الترقيم السابق,pagination.précédent
Showing,Showing,Demostración,عرض,Affichage
of,of,de,ل,de
results,results,resultados,نتائج,résultats
TRUE,TRUE,VERDADERO,حقيقي,VRAI
FALSE,FALSE,FALSO,خطأ شنيع,FAUX
Register,Register,Registro,يسجل,Registre
Logout,Logout,Cerrar sesión,تسجيل الخروج,Déconnexion
Unauthorized,Unauthorized,No autorizado,غير مصرح به,Non autorisé
Forbidden,Forbidden,Prohibido,مُحرَّم,Interdit
Not Found,Not Found,Extraviado,لم يتم العثور عليه,Non trouvé
Page Expired,Page Expired,Página expirada,انتهت صلاحية الصفحة,Page expirée
Server Error,Server Error,Error del servidor,خطأ في الخادم,Erreur du serveur
Previous,Previous,Anterior,سابق,Précédent
Next,Next,Próximo,التالي,Suivant
Please confirm your password before continuing.,Please confirm your password before continuing.,Por favor confirme su contraseña antes de continuar.,يرجى تأكيد كلمة المرور الخاصة بك قبل الاستمرار.,Veuillez confirmer votre mot de passe avant de continuer.
Forgot Your Password?,Forgot Your Password?,¿Olvidaste tu contraseña?,نسيت كلمة السر؟,Mot de passe oublié?
Send Password Reset Link,Send Password Reset Link,Enviar enlace de restablecimiento de contraseña,إرسال رابط إعادة تعيين كلمة المرور,Envoyer le lien de réinitialisation du mot de passe
Remember Me,Remember Me,Acuérdate de mí,تذكرنى,Souviens-toi de moi
Verify Your Email Address,Verify Your Email Address,Verifique su dirección de correo electrónico,التحقق من عنوان بريدك الإلكتروني,Vérifiez votre adresse e-mail
A fresh verification link has been sent to your email address.,A fresh verification link has been sent to your email address.,Se ha enviado un nuevo enlace de verificación a su dirección de correo electrónico.,لقد تم إرسال رابط تحقق جديد إلى عنوان بريدك الإلكتروني.,Un nouveau lien de vérification a été envoyé à votre adresse e-mail.
"Before proceeding, please check your email for a verification link.","Before proceeding, please check your email for a verification link.","Antes de continuar, revise su correo electrónico para obtener un enlace de verificación.",قبل المتابعة، يرجى التحقق من بريدك الإلكتروني للحصول على رابط التحقق.,"Avant de continuer, veuillez vérifier votre courrier électronique pour un lien de vérification."
If you did not receive the email,If you did not receive the email,Si no recibiste el correo electrónico,إذا لم تستلم البريد الإلكتروني,Si vous n'avez pas reçu l'e-mail
click here to request another,click here to request another,Haga clic aquí para solicitar otro,انقر هنا لطلب آخر,cliquez ici pour en demander un autre
You are logged in!,You are logged in!,¡Has iniciado sesión!,لقد قمت بتسجيل الدخول!,Vous êtes connecté!
There was an error on row :row. :message,There was an error on row :row. :message,Hubo un error en la fila :row. :message,حدث خطأ في الصف :row. :message,Une erreur s'est produite sur la ligne :row. :message
row,row,fila,صف,rangée
logged in.,logged in.,ha iniciado sesión.,تم تسجيل الدخول.,connecté.
Complete Logs,Complete Logs,Registros completos,السجلات الكاملة,Journaux complets
Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,"¡Uy! No se pudo enviar el correo. Por favor, revise sus credenciales de correo o reconfigure el correo.",عفواً! فشل إرسال البريد. يُرجى إعادة التحقق من بيانات اعتماد بريدك الإلكتروني أو إعادة ضبط إعداداته.,Oups ! Échec de l'envoi du mail. Veuillez revérifier vos identifiants de messagerie ou reconfigurer votre messagerie.
Admin Roles,Admin Roles,Roles de administrador,أدوار المسؤول,Rôles d'administrateur
Oops! Target role not found!,Oops! Target role not found!,¡Ups! ¡No se encontró el rol objetivo!,عفواً! لم يتم العثور على الدور المستهدف!,Oups ! Rôle cible introuvable !
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المسؤول بنجاح!,Le rôle d'administrateur a été mis à jour avec succès !
Super admin role can,Super admin role can,El rol de superadministrador puede,يمكن أن يكون دور المشرف الأعلى,Le rôle de super administrateur peut
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات,Groupe d'autorisations
Role Permission (,Role Permission (,Permiso de rol (,إذن الدور (,Autorisation de rôle (
Invalid code. Please try again,Invalid code. Please try again,Código no válido. Inténtalo de nuevo.,الرمز غير صالح. يُرجى المحاولة مرة أخرى.,Code invalide. Veuillez réessayer.
Crypto Assets,Crypto Assets,Activos criptográficos,الأصول المشفرة,Crypto-actifs
Crypto Wallet Transactions,Crypto Wallet Transactions,Transacciones de billeteras criptográficas,معاملات محفظة العملات المشفرة,Transactions de portefeuille cryptographique
Automatic Add Money,Automatic Add Money,Añadir dinero automáticamente,إضافة الأموال تلقائيًا,Ajout automatique d'argent
Manual Add Money,Manual Add Money,Agregar dinero manualmente,إضافة الأموال يدويًا,Ajout manuel d'argent
Automatic Add Money Edit,Automatic Add Money Edit,Edición automática de agregar dinero,تحرير إضافة الأموال تلقائيًا,Modification automatique de l'ajout d'argent
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente y editar,تعديل إضافة الأموال يدويًا,Modification manuelle de l'ajout d'argent
Money Out Edit,Money Out Edit,Edición de salida de dinero,تحرير الأموال الخارجة,Édition de sortie d'argent
alias.exists,alias.exists,alias.existe,الاسم المستعار موجود,alias.existe
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡El portal de pago seleccionado no es válido!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !
Money Out Add,Money Out Add,Saldo de dinero Agregar,إضافة أموال خارجة,Ajouter de l'argent en sortie
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول,Profil d'administrateur
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور,Changement de mot de passe
